,Tweet,handle,tweet_text,Polarity,Subjectivity
8,"@virginamerica Well, I didn't…but NOW I DO! :-D",@virginamerica," Well, I didn't…but NOW I DO! :-D",1.0,1.0
19,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,@VirginAmerica, you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,0.6,0.9666666666666667
22,@VirginAmerica I love the hipster innovation. You are a feel good brand.,@VirginAmerica, I love the hipster innovation. You are a feel good brand.,0.6,0.6000000000000001
34,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,@VirginAmerica, this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via ,1.0,0.75
35,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,,Nice RT  Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,0.6,1.0
36,@VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,@VirginAmerica, Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday,0.5875,0.7124999999999999
42,@VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,@VirginAmerica, plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️,1.0,0.4
43,@VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,@VirginAmerica, I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp,0.5787878787878787,0.7515151515151515
45,@VirginAmerica I'm #elevategold for a good reason: you rock!!,@VirginAmerica, I'm #elevategold for a good reason: you rock!!,1.0,0.6000000000000001
51,@VirginAmerica @ladygaga @carrieunderwood Julie Andrews all the way though @ladygaga was very impressive! NO to @Carrieunderwood,@VirginAmerica,   Julie Andrews all the way though  was very impressive! NO to ,1.0,1.0
57,@VirginAmerica @ladygaga @carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊,@VirginAmerica,    I'm Lady Gaga!!! She is amazing! 😊,0.7500000000000001,0.9
62,"@VirginAmerica @ladygaga @carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌",@VirginAmerica,"   all are great , but I have to go with #CarrieUnderwood 😍👌",0.8,0.75
68,@VirginAmerica Congrats on winning the @Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,@VirginAmerica, Congrats on winning the  award for Best Deals from an Airline (US) http://t.co/kj1iljaebV,0.75,0.525
74,"@VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",@VirginAmerica," not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.",0.5787878787878787,0.6515151515151515
75,@VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?,@VirginAmerica, awesome. I flew yall Sat morning. Any way we can correct my bill ?,1.0,1.0
76,"@VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",@VirginAmerica," Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF",1.0,0.3
105,"@VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",@VirginAmerica," - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying",0.875,0.6
106,@VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm,@VirginAmerica, called your service line and was hung up on. This is awesome. #sarcasm,1.0,1.0
113,@VirginAmerica Have a great week 🌞✈,@VirginAmerica, Have a great week 🌞✈,0.8,0.75
116,"@VirginAmerica is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",@VirginAmerica," is the best airline I have flown on.Easy to change your reservation,helpful representatives &amp; a comfortable flying experience",0.7,0.55
117,@VirginAmerica and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,@VirginAmerica, and again! Another rep kicked butt! Naelah represents your team so beautifully!! Thank you!!!,1.0,1.0
124,@VirginAmerica you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,@VirginAmerica, you have the absolute best team and customer service ever.  Every time I fly with you I'm delighted.  Thank you!,0.71875,0.7
