,Tweet,handle,tweet_text,Polarity,Subjectivity
33,"@VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(",@VirginAmerica," awaiting my return phone call, just would prefer to use your online self-service option :(",-0.75,1.0
84,@VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,@VirginAmerica, it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin,-0.6,0.7
87,@VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,@VirginAmerica, Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4,-0.5,0.5
97,@VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,@VirginAmerica, - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable,-0.5,1.0
99,@VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.,@VirginAmerica, is anyone doing anything there today?  Website is useless and no one is answering the phone.,-0.5,0.2
114,@VirginAmerica come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,@VirginAmerica, come back to #PHL already. We need you to take us out of this horrible cold. #pleasecomeback http://t.co/gLXFwP6nQH,-0.5333333333333333,0.6666666666666666
131,@VirginAmerica @FiDiFamilies us too! Terrible airline! Just gave us a hotel hotline number and said sorry,@VirginAmerica,  us too! Terrible airline! Just gave us a hotel hotline number and said sorry,-0.75,1.0
181,@VirginAmerica too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,@VirginAmerica, too bad you say it takes 10 to 14 days via YOUR confirmation email. When I inquired after 3 weeks you claim 6 to 8 weeks!,-0.8749999999999998,0.6666666666666666
187,@VirginAmerica  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,@VirginAmerica,  for all my flight stuff wrong and did nothing about it. Had #worst #flight ever,-0.75,0.95
224,@VirginAmerica  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad,@VirginAmerica,  how are you gonna have a deal from Dallas to DC but no deal from DC to Dallas? #sad,-0.5,1.0
263,@VirginAmerica there is something wrong with you website in Safari iPhone,@VirginAmerica, there is something wrong with you website in Safari iPhone,-0.5,0.9
354,@VirginAmerica I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email,@VirginAmerica, I am deeply disappointed that your birthday promo was not applied to a trip I booked mere days before I received the email,-0.625,0.625
367,@VirginAmerica on VX399 from JFK to LA - dirty plane - not up to your standards.,@VirginAmerica, on VX399 from JFK to LA - dirty plane - not up to your standards.,-0.6,0.8
411,@VirginAmerica all crap channels which is why I pay to watch UK tv,@VirginAmerica, all crap channels which is why I pay to watch UK tv,-0.8,0.8
420,@VirginAmerica is helping me step up my @Tinder game! #TinderTips #tinderchamp http://t.co/jBmVVha63A,@VirginAmerica, is helping me step up my  game! #TinderTips #tinderchamp http://t.co/jBmVVha63A,-0.5,0.4
446,"@VirginAmerica Never had a bad experience before, but this one took the cake. Now extortion for carry on items as well?",@VirginAmerica," Never had a bad experience before, but this one took the cake. Now extortion for carry on items as well?",-0.6999999999999998,0.6666666666666666
506,@united still no refund or word via DM. Please resolve this issue as your Cancelled Flightled flight was useless to my assistant's trip.,@united, still no refund or word via DM. Please resolve this issue as your Cancelled Flightled flight was useless to my assistant's trip.,-0.5,0.2
519,@united @CheerTymeDad So I can buy tix 3 days before flight but can't transfer the tix.  Flawed security logic. Flawed customer service,@united,  So I can buy tix 3 days before flight but can't transfer the tix.  Flawed security logic. Flawed customer service,-0.5,0.5
533,"@united thats weak. See ya 👋
Hey @VirginAmerica !!",@united," thats weak. See ya 👋
Hey  !!",-0.5859375,0.625
583,@united @getmeontop 7 WEEKS Late FlightR AND I STILL HAVE NOT RECEIVED MY MILES FROM THE MileagePlus Gift Card $150 STARBUCKS CARD I HANDED OVER!!!,@united,  7 WEEKS Late FlightR AND I STILL HAVE NOT RECEIVED MY MILES FROM THE MileagePlus Gift Card $150 STARBUCKS CARD I HANDED OVER!!!,-0.5859375,0.6
592,@united silly I'm flying delta today. Your united club staff and attendants are surly and unhelpful and always seem bothered by pesky folk,@united, silly I'm flying delta today. Your united club staff and attendants are surly and unhelpful and always seem bothered by pesky folk,-0.5,0.875
616,@united Blackmailed me into paying £130 extra or having my return ticket nullified in San Francisco Airport. Terrible service from rep #scam,@united, Blackmailed me into paying £130 extra or having my return ticket nullified in San Francisco Airport. Terrible service from rep #scam,-0.5,0.55
